Jahr,Baumart,Waldeigentum,Einschlagsursache,Einschlagsursache,Einschlagsursache,Einschlagsursache,Einschlagsursache,Einschlagsursache,,,,,,,,
,,,Wind/Sturm,Schnee/Duft,Insekten,Trockenheit,Sonstiges,Insgesamt,,,,,,,,
2013,Insgesamt,Insgesamt,2284,0,1164,1,1704,1,-,870,2,6022,4,,,
2014,Eiche und Roteiche,Staatswald (Bundes- und Landeswald),14,8,0,4,11,2,-,37,8,64,2,,,
2014,Eiche und Roteiche,K�rperschaftswald,20,4,0,2,5,6,-,21,2,47,5,,,
2014,Eiche und Roteiche,Privatwald,34,9,1,7,12,4,-,27,9,76,9,,,
2014,Eiche und Roteiche,Insgesamt,70,1,2,3,29,3,-,86,9,188,6,,,
2014,Buche und sonstiges Laubholz,Staatswald (Bundes- und Landeswald),77,4,4,5,6,9,-,102,9,191,6,,,
2014,Buche und sonstiges Laubholz,K�rperschaftswald,86,4,2,2,6,0,-,132,2,226,7,,,
2014,Buche und sonstiges Laubholz,Privatwald,103,7,20,5,20,8,-,127,6,272,4,,,
2014,Buche und sonstiges Laubholz,Insgesamt,267,5,27,1,33,7,-,362,5,690,8,,,
2014,Kiefer und L�rche,Staatswald (Bundes- und Landeswald),200,1,33,2,14,5,-,71,7,319,5,,,
2014,Kiefer und L�rche,K�rperschaftswald,85,8,5,3,7,7,-,37,5,136,3,,,
2014,Kiefer und L�rche,Privatwald,294,4,50,4,31,6,-,38,1,414,5,,,
2014,Kiefer und L�rche,Insgesamt,580,3,88,8,53,8,-,147,3,870,3,,,
2014,Fichte und Tanne und Douglasie und sonstiges Nadelholz,Staatswald (Bundes- und Landeswald),579,1,43,9,624,4,-,80,6,1328,1,
2014,Fichte und Tanne und Douglasie und sonstiges Nadelholz,K�rperschaftswald,288,2,14,9,257,9,-,69,6,630,6,
2014,Fichte und Tanne und Douglasie und sonstiges Nadelholz,Privatwald,805,3,53,0,753,2,-,137,5,1749,1,
2014,Fichte und Tanne und Douglasie und sonstiges Nadelholz,Insgesamt,1672,7,111,8,1635,5,-,287,8,3707,7,
2014,Insgesamt,Staatswald (Bundes- und Landeswald),871,4,81,9,657,0,-,293,0,1903,3,,,
2014,Insgesamt,K�rperschaftswald,480,8,22,6,277,2,-,260,5,1041,1,,,
2014,Insgesamt,Privatwald,1238,3,125,6,818,1,-,331,0,2512,9,,,
2014,Insgesamt,Insgesamt,2590,5,230,1,1752,3,-,884,5,5457,4,,,
2015,Eiche und Roteiche,Staatswald (Bundes- und Landeswald),20,6,0,5,8,8,-,27,6,57,3,,,
2015,Eiche und Roteiche,K�rperschaftswald,27,4,0,6,3,9,-,21,3,53,2,,,
2015,Eiche und Roteiche,Privatwald,44,9,2,9,13,9,-,25,4,87,1,,,
2015,Eiche und Roteiche,Insgesamt,92,9,3,9,26,5,-,74,2,197,6,,,
2015,Buche und sonstiges Laubholz,Staatswald (Bundes- und Landeswald),118,8,6,4,7,0,-,132,9,264,9,,,
2015,Buche und sonstiges Laubholz,K�rperschaftswald,99,3,7,1,6,7,-,216,9,330,0,,,
2015,Buche und sonstiges Laubholz,Privatwald,222,3,12,1,16,9,-,71,5,322,8,,,
2015,Buche und sonstiges Laubholz,Insgesamt,440,4,25,6,30,5,-,421,2,917,7,,,
2015,Kiefer und L�rche,Staatswald (Bundes- und Landeswald),339,6,13,7,10,5,-,65,5,429,4,,,
2015,Kiefer und L�rche,K�rperschaftswald,122,1,5,9,10,7,-,31,0,169,8,,,
2015,Kiefer und L�rche,Privatwald,671,1,19,8,91,5,-,40,5,822,8,,,
